"","58","50","44","39","35","27","32","25","23","20","21","15","13","11","9","6","4"
"H1_Exp1.064","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-6","mc6-2","mc4-7"
"H1_Exp1.065","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-20","mc13-6","mc11-8","mc9-7","mc6-1",NA
"H1_Exp1.066","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-19","mc13-8","mc11-1","mc9-2","mc6-8","mc4-1"
"H1_Exp1.068","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-4","mc20-12","mc21-8","mc15-11","mc13-5",NA,NA,NA,NA
"H1_Exp1.070","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-6","mc11-5","mc9-9","mc6-1",NA
"H1_Exp2.073","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-3","mc9-3","mc6-5","mc4-10"
"H1_Exp2.074","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-9","mc23-2","mc20-11","mc21-10","mc15-21","mc13-5","mc11-5","mc9-9",NA,NA
"H1_Exp2.075","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-2","mc20-14","mc21-13","mc15-16","mc13-6","mc11-8","mc9-3","mc6-10","mc4-10"
"H1_Exp2.076","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-11","mc15-16","mc13-6","mc11-6","mc9-5","mc6-5","mc4-10"
"H1_Exp2.077","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-9","mc23-3","mc20-14","mc21-12","mc15-11","mc13-6",NA,NA,NA,NA
